Type Code;Description
0;Not available (default)
1;Reserved for future use
2;Reserved for future use
3;Reserved for future use
4;Reserved for future use
5;Reserved for future use
6;Reserved for future use
7;Reserved for future use
8;Reserved for future use
9;Reserved for future use
10;Reserved for future use
11;Reserved for future use
12;Reserved for future use
13;Reserved for future use
14;Reserved for future use
15;Reserved for future use
16;Reserved for future use
17;Reserved for future use
18;Reserved for future use
19;Reserved for future use
20;Wing in ground (WIG)
21;Wing in ground (WIG)
22;Wing in ground (WIG)
23;Wing in ground (WIG)
24;Wing in ground (WIG)
25;Wing in ground (WIG)
26;Wing in ground (WIG)
27;Wing in ground (WIG)
28;Wing in ground (WIG)
29;Wing in ground (WIG)
30;Fishing
31;Towing
32;Towing
33;Dredging
34;Diving ops
35;Military ops
36;Sailing
37;Pleasure Craft
38;Reserved
39;Reserved
40;High speed craft (HSC)
41;High speed craft (HSC)
42;High speed craft (HSC)
43;High speed craft (HSC)
44;High speed craft (HSC)
45;High speed craft (HSC)
46;High speed craft (HSC)
47;High speed craft (HSC)
48;High speed craft (HSC)
49;High speed craft (HSC)
50;Pilot Vessel
51;Search and Rescue vessel
52;Tug
53;Port Tender
54;Anti-pollution equipment
55;Law Enforcement
56;Spare - Local Vessel
57;Spare - Local Vessel
58;Medical Transport
59;Noncombatant ship
60;Passenger
61;Passenger
62;Passenger
63;Passenger
64;Passenger
65;Passenger
66;Passenger
67;Passenger
68;Passenger
69;Passenger
70;Cargo
71;Cargo
72;Cargo
73;Cargo
74;Cargo
75;Cargo
76;Cargo
77;Cargo
78;Cargo
79;Cargo
80;Tanker
81;Tanker
82;Tanker
83;Tanker
84;Tanker
85;Tanker
86;Tanker
87;Tanker
88;Tanker
89;Tanker
90;Other
91;Other 
92;Other 
93;Other
94;Other
95;Other
96;Other
97;Other
98;Other
99;Other
